1	2
1	3
1	4
1	5
1	6
1	33
1	32
1	42
1	17
1	25
2	3
2	4
2	5
2	6
2	7
2	8
2	25
2	41
2	42
3	4
3	5
3	6
3	7
3	8
3	25
4	5
4	6
4	7
4	8
5	6
5	7
5	8
6	8
7	8
7	25
8	13
8	17
8	25
2	44
11	12
11	13
11	14
11	15
11	16
11	17
11	27
12	13
12	15
12	16
12	17
11	21
13	14
13	15
13	16
13	17
14	15
14	17
14	21
15	16
15	17
16	17
16	26
17	27
21	22
21	23
21	24
21	26
21	27
22	23
22	24
22	25
22	26
22	27
23	24
23	25
23	26
23	27
24	25
25	32
25	34
26	27
31	32
31	33
31	34
31	35
31	36
31	37
32	33
32	34
32	35
32	36
32	37
33	34
33	35
33	36
33	37
34	35
34	36
34	37
35	36
35	37
36	37
41	42
41	43
41	44
41	45
42	43
42	44
42	45
43	44
43	45
